,value
879,2.8033159915658397
880,4.523313267685851
881,3.0579322209793833
882,4.450935446896981
883,3.5537700988338
884,4.238166521569413
885,3.862389946921553
886,3.6030204054973094
887,4.051706266936954
888,3.383826933680062
889,4.109488255648487
890,2.75602639631658
891,2.938446171860977
892,2.80327954243511
893,2.8732914435149155
894,2.0372630135716383
895,2.8814638072355514
896,1.5820543613122544
897,2.5348629129608016
898,2.8255229721311084
899,4.227916206953324
900,2.25549348344809
901,4.047095148712993
902,2.252114139050589
903,1.9366794522859483
904,2.6866484887019046
905,3.2559099340973368
906,3.317432784944327
907,1.47863321363877
908,2.418757424836985
909,2.390814083174724
910,2.956470552228817
911,2.571560244397649
912,1.233817379470255
913,2.497075536523213
914,1.0094651355009998
915,1.667597172785015
916,0.9676284808683133
917,2.3445245597549804
918,3.268814625591008
919,3.5672477242643468
920,1.406878812239169
921,4.112755423845186
922,3.632916988292622
923,2.9064492533943334
924,3.9294955455645257
925,2.400619883013893
926,3.8654620878813226
927,0.9818306132223467
928,2.7877084027466994
929,2.1035319076708294
930,3.2869359208611915
931,3.386767804198596
932,1.7774476545636078
933,2.430989427184019
934,2.444059753098557
935,2.504879308306151
936,2.8344982058049473
937,2.1480700646202013
938,3.1878376756440527
939,1.1114261516616386
940,3.401605063433622
941,1.9810177223136591
942,3.0952637609808527
943,1.4616670869316435
944,2.8831695126009427
945,2.8795834793228092
946,1.2596604500192359
947,2.956387991705052
948,2.9660643459455223
949,1.871251636432625
950,1.9247517155017524
951,2.1596198886371467
952,1.5829584198506153
953,2.602956896768328
954,2.763600765395
955,1.1178902067059389
956,2.6487231341258273
957,1.8862319476434164
958,1.8313445096099512
959,2.8053264869479304
960,2.9761572282123896
961,0.9244137011974911
962,1.2486810941993003
963,2.750757077870876
964,3.2790989225704505
965,2.1422983345279167
966,2.577688246731374
967,2.1583614651542833
968,2.3981205000907417
969,2.2839380800870286
970,1.770486326049034
971,2.460760249994374
972,4.56924806242575
973,3.16049000057312
974,3.491643426310949
975,3.0889687103096772
976,3.392160600350511
977,3.1414541987692575
978,2.8747445091058
979,3.371792763729329
980,3.48024742528137
981,1.3768162187906097
982,3.3052063568437706
983,1.6436238941185675
984,2.8564505614354285
985,2.4668270980378884
986,3.2259715932525825
987,1.554318794561899
988,3.277538602083986
989,1.6419844663014276
990,0.9191481378512356
991,2.44757799617971
992,0.8043501295380322
993,2.356007870268758
994,1.3645115428332697
995,2.3771682956497835
996,1.8929104387008149
997,2.014587374932649
998,3.117571256755385
999,2.8889727569643426
1000,3.0176666906012177
1001,2.9792801660931714
1002,1.9569305342615095
1003,1.6472496278170614
1004,2.492929876514844
1005,2.2074603541206304
1006,1.6501877996824956
1007,3.5714798949983164
1008,1.140021986842576
1009,3.361107596067227
1010,2.2636543430639193
1011,2.744123463166212
1012,2.065436007399707
1013,3.2179732296834462
1014,2.461393475307541
1015,2.7560723036831067
1016,2.758764951197511
1017,3.427771611670267
1018,1.2800344123687926
1019,3.5712885657478264
1020,3.6819099340973365
1021,1.1118182658477829
1022,2.013218248037435
1023,1.9802771232110032
1024,2.0084572174083286
1025,4.030409265994514
1026,4.04302802142791
1027,2.2688262168791073
1028,4.735450122140962
1029,3.313995776706008
1030,4.203099657553706
1031,3.584168523993338
1032,3.4694986388601308
1033,3.5614671274245655
1034,2.6968189600026857
1035,3.6651141781818213
1036,1.030620372280328
1037,2.9650095769814566
1038,1.1449146315711936
1039,3.066928072651767
1040,1.8118571430356487
1041,3.4327941302163607
1042,2.3925782057160427
1043,2.9743310861567274
1044,2.788293757938594
1045,2.805621744695649
1046,2.960982845084108
1047,2.1755415083730134
1048,3.471458153944832
1049,2.168449173658569
1050,3.742214897391886
1051,1.5989301996400007
1052,3.594469837020327
1053,3.735797677973993
1054,1.2030471644320697
1055,2.6027662713343904
1056,3.3007017294733325
1057,2.1475369897775844
1058,3.236447283227733
1059,3.0812837881343382
